periodo,sector,concursos
2011Q1,A Agricultura y pesca,16
2011Q2,A Agricultura y pesca,15
2011Q3,A Agricultura y pesca,13
2011Q4,A Agricultura y pesca,20
2012Q1,A Agricultura y pesca,11
2012Q2,A Agricultura y pesca,23
2012Q3,A Agricultura y pesca,16
2012Q4,A Agricultura y pesca,21
2013Q1,A Agricultura y pesca,16
2013Q2,A Agricultura y pesca,32
2013Q3,A Agricultura y pesca,14
2013Q4,A Agricultura y pesca,21
2014Q1,A Agricultura y pesca,18
2014Q2,A Agricultura y pesca,17
2014Q3,A Agricultura y pesca,9
2014Q4,A Agricultura y pesca,13
2015Q1,A Agricultura y pesca,20
2015Q2,A Agricultura y pesca,15
2015Q3,A Agricultura y pesca,23
2015Q4,A Agricultura y pesca,12
2016Q1,A Agricultura y pesca,6
2016Q2,A Agricultura y pesca,15
2016Q3,A Agricultura y pesca,5
2016Q4,A Agricultura y pesca,18
2017Q1,A Agricultura y pesca,11
2017Q2,A Agricultura y pesca,19
2017Q3,A Agricultura y pesca,11
2017Q4,A Agricultura y pesca,13
2018Q1,A Agricultura y pesca,20
2018Q2,A Agricultura y pesca,15
2018Q3,A Agricultura y pesca,21
2018Q4,A Agricultura y pesca,9
2019Q1,A Agricultura y pesca,12
2019Q2,A Agricultura y pesca,13
2019Q3,A Agricultura y pesca,10
2019Q4,A Agricultura y pesca,30
2020Q1,A Agricultura y pesca,16
2020Q2,A Agricultura y pesca,8
2020Q3,A Agricultura y pesca,10
2020Q4,A Agricultura y pesca,16
2021Q1,A Agricultura y pesca,9
2021Q2,A Agricultura y pesca,8
2021Q3,A Agricultura y pesca,9
2021Q4,A Agricultura y pesca,19
2022Q1,A Agricultura y pesca,18
2022Q2,A Agricultura y pesca,11
2022Q3,A Agricultura y pesca,21
2022Q4,A Agricultura y pesca,16
2023Q1,A Agricultura y pesca,20
2023Q2,A Agricultura y pesca,18
2023Q3,A Agricultura y pesca,10
2023Q4,A Agricultura y pesca,24
2024Q1,A Agricultura y pesca,23
2024Q2,A Agricultura y pesca,28
2024Q3,A Agricultura y pesca,12
2024Q4,A Agricultura y pesca,15
2025Q1,A Agricultura y pesca,36
2025Q2,A Agricultura y pesca,20
2025Q3,A Agricultura y pesca,11
2025Q4,A Agricultura y pesca,15
2011Q1,F Construcción,513
2011Q2,F Construcción,490
2011Q3,F Construcción,374
2011Q4,F Construcción,537
2012Q1,F Construcción,694
2012Q2,F Construcción,673
2012Q3,F Construcción,448
2012Q4,F Construcción,672
2013Q1,F Construcción,667
2013Q2,F Construcción,709
2013Q3,F Construcción,484
2013Q4,F Construcción,570
2014Q1,F Construcción,457
2014Q2,F Construcción,420
2014Q3,F Construcción,296
2014Q4,F Construcción,338
2015Q1,F Construcción,315
2015Q2,F Construcción,292
2015Q3,F Construcción,198
2015Q4,F Construcción,226
2016Q1,F Construcción,206
2016Q2,F Construcción,207
2016Q3,F Construcción,168
2016Q4,F Construcción,201
2017Q1,F Construcción,180
2017Q2,F Construcción,202
2017Q3,F Construcción,126
2017Q4,F Construcción,148
2018Q1,F Construcción,171
2018Q2,F Construcción,209
2018Q3,F Construcción,129
2018Q4,F Construcción,152
2019Q1,F Construcción,139
2019Q2,F Construcción,154
2019Q3,F Construcción,151
2019Q4,F Construcción,159
2020Q1,F Construcción,163
2020Q2,F Construcción,109
2020Q3,F Construcción,138
2020Q4,F Construcción,168
2021Q1,F Construcción,150
2021Q2,F Construcción,178
2021Q3,F Construcción,120
2021Q4,F Construcción,153
2022Q1,F Construcción,187
2022Q2,F Construcción,187
2022Q3,F Construcción,219
2022Q4,F Construcción,166
2023Q1,F Construcción,137
2023Q2,F Construcción,198
2023Q3,F Construcción,192
