cnae_code,year,num_companies,sector_name
45.0,2011,139458.0,Venta y reparación de vehículos
45.0,2012,136850.0,Venta y reparación de vehículos
45.0,2013,138192.0,Venta y reparación de vehículos
45.0,2014,139456.0,Venta y reparación de vehículos
45.0,2015,142392.0,Venta y reparación de vehículos
45.0,2016,144404.0,Venta y reparación de vehículos
45.0,2017,147190.0,Venta y reparación de vehículos
45.0,2018,150770.0,Venta y reparación de vehículos
45.0,2019,150630.0,Venta y reparación de vehículos
45.0,2020,148958.0,Venta y reparación de vehículos
45.0,2021,148030.0,Venta y reparación de vehículos
45.0,2022,149578.0,Venta y reparación de vehículos
45.0,2023,138178.0,Venta y reparación de vehículos
45.0,2024,138172.0,Venta y reparación de vehículos
46.0,2011,438932.0,Comercio al por mayor
46.0,2012,438490.0,Comercio al por mayor
46.0,2013,437640.0,Comercio al por mayor
46.0,2014,437876.0,Comercio al por mayor
46.0,2015,445592.0,Comercio al por mayor
46.0,2016,445770.0,Comercio al por mayor
46.0,2017,443478.0,Comercio al por mayor
46.0,2018,442036.0,Comercio al por mayor
46.0,2019,445248.0,Comercio al por mayor
46.0,2020,432516.0,Comercio al por mayor
46.0,2021,423306.0,Comercio al por mayor
46.0,2022,421666.0,Comercio al por mayor
46.0,2023,367926.0,Comercio al por mayor
46.0,2024,362748.0,Comercio al por mayor
47.0,2011,985998.0,Comercio al por menor
47.0,2012,971974.0,Comercio al por menor
47.0,2013,954926.0,Comercio al por menor
47.0,2014,939634.0,Comercio al por menor
47.0,2015,939876.0,Comercio al por menor
47.0,2016,924900.0,Comercio al por menor
47.0,2017,916338.0,Comercio al por menor
47.0,2018,902942.0,Comercio al por menor
47.0,2019,886836.0,Comercio al por menor
47.0,2020,871672.0,Comercio al por menor
47.0,2021,855274.0,Comercio al por menor
47.0,2022,857210.0,Comercio al por menor
47.0,2023,786574.0,Comercio al por menor
47.0,2024,769548.0,Comercio al por menor
49.0,2011,378400.0,Transporte terrestre
49.0,2012,369520.0,Transporte terrestre
49.0,2013,357856.0,Transporte terrestre
49.0,2014,339190.0,Transporte terrestre
49.0,2015,333594.0,Transporte terrestre
49.0,2016,332148.0,Transporte terrestre
49.0,2017,331980.0,Transporte terrestre
49.0,2018,332522.0,Transporte terrestre
49.0,2019,320876.0,Transporte terrestre
49.0,2020,331150.0,Transporte terrestre
49.0,2021,329024.0,Transporte terrestre
49.0,2022,331550.0,Transporte terrestre
49.0,2023,312256.0,Transporte terrestre
49.0,2024,321590.0,Transporte terrestre
50.0,2011,992.0,Transporte marítimo
50.0,2012,1016.0,Transporte marítimo
50.0,2013,1014.0,Transporte marítimo
50.0,2014,1024.0,Transporte marítimo
50.0,2015,1012.0,Transporte marítimo
50.0,2016,1092.0,Transporte marítimo
50.0,2017,1182.0,Transporte marítimo
50.0,2018,1546.0,Transporte marítimo
50.0,2019,1310.0,Transporte marítimo
50.0,2020,1540.0,Transporte marítimo
50.0,2021,1666.0,Transporte marítimo
50.0,2022,1842.0,Transporte marítimo
