periodo,euribor_12m
2011Q1,1.7357
2011Q2,2.1275
2011Q3,2.1142
2011Q4,2.0524
2012Q1,1.671
2012Q2,1.2813
2012Q3,0.8969
2012Q4,0.5987
2013Q1,0.5716
2013Q2,0.506
2013Q3,0.5368
2013Q4,0.5301
2014Q1,0.563
2014Q2,0.5691
2014Q3,0.4399
2014Q4,0.3337
2015Q1,0.2545
2015Q2,0.1694
2015Q3,0.1608
2015Q4,0.0887
2016Q1,0.0068
2016Q2,-0.0169
2016Q3,-0.0537
2016Q4,-0.0744
2017Q1,-0.1034
2017Q2,-0.1326
2017Q3,-0.1595
2017Q4,-0.186
2018Q1,-0.1903
2018Q2,-0.1864
2018Q3,-0.1718
2018Q4,-0.1442
2019Q1,-0.1111
2019Q2,-0.1451
2019Q3,-0.3254
2019Q4,-0.2802
2020Q1,-0.2685
2020Q2,-0.1135
2020Q3,-0.3496
2020Q4,-0.4811
2021Q1,-0.4969
2021Q2,-0.4827
2021Q3,-0.4938
2021Q4,-0.489
2022Q1,-0.3465
2022Q2,0.4016
2022Q3,1.4952
2022Q4,2.8253
2023Q1,3.5071
2023Q2,3.883
2023Q3,4.1222
2023Q4,3.9668
2024Q1,3.6641
2024Q2,3.6782
2024Q3,3.2183
2024Q4,2.5506
2025Q1,2.4454
2025Q2,2.101
2025Q3,2.121
2025Q4,2.2228
