year,concursos,target,euribor,pib_growth,unemployment_rate,coste_laboral,ratio_pyme_empleadoras,bad_loans,profitability
2011,9998.0,0,0.4691,-0.78,21.39,2477.6,0.476,125237468.0,5.2
2012,13618.0,1,0.4523,-3.06,24.79,2446.11,0.4771,166508546.5,4.3
2013,14835.0,1,0.4,-1.0,26.09,2443.34,0.4783,181233311.0,5.4
2014,10370.0,0,0.4,1.3,24.44,2428.98,0.4791,183026588.5,5.7
2015,7870.0,0,0.4074,4.64,22.06,2453.62,0.4791,148165316.75,7.0
2016,6502.0,0,0.3252,3.3,19.63,2442.58,0.4785,121430861.5,8.2
2017,6413.0,0,0.1907,4.19,17.22,2448.05,0.4778,104931016.5,8.6
2018,6520.0,1,0.4454,3.61,15.25,2475.94,0.4772,76766885.0,9.0
2019,7198.0,1,0.6767,3.42,14.1,2537.7,0.4778,63152280.0,8.2
2020,6715.0,0,0.127,-9.93,15.53,2482.29,0.4771,56610988.75,4.3
2021,4098.0,0,0.0026,9.41,14.91,2641.0,0.4789,53642889.75,7.1
2022,4755.0,1,1.3798,11.36,13.03,2760.46,0.4785,47221491.75,9.0
2023,4544.0,0,4.659,8.86,12.18,2915.84,0.4762,42084377.25,9.6
2024,5589.0,1,5.0133,6.45,11.34,3034.14,0.4755,40755922.75,10.7
2025,5871.0,1,4.114,6.45,10.5,3134.11,0.4756,37285681.0,10.7
