periodo,ipc
2011Q1,75.389
2011Q2,76.686
2011Q3,76.319
2011Q4,77.32
2012Q1,76.864
2012Q2,78.194
2012Q3,78.425
2012Q4,79.71
2013Q1,78.879
2013Q2,79.542
2013Q3,79.372
2013Q4,79.812
2014Q1,78.888
2014Q2,79.716
2014Q3,79.111
2014Q4,79.411
2015Q1,78.085
2015Q2,79.514
2015Q3,78.785
2015Q4,79.155
2016Q1,77.571
2016Q2,78.762
2016Q3,78.641
2016Q4,79.926
2017Q1,79.699
2017Q2,80.336
2017Q3,79.94
2017Q4,81.083
2018Q1,80.459
2018Q2,81.783
2018Q3,81.725
2018Q4,82.47
2019Q1,81.373
2019Q2,82.533
2019Q3,81.98
2019Q4,82.833
2020Q1,81.863
2020Q2,81.99
2020Q3,81.568
2020Q4,82.238
2021Q1,82.348
2021Q2,84.089
2021Q3,84.339
2021Q4,87.018
2022Q1,88.821
2022Q2,91.74
2022Q3,92.823
2022Q4,92.752
2023Q1,93.31
2023Q2,94.539
2023Q3,95.438
2023Q4,95.783
2024Q1,96.239
2024Q2,97.808
2024Q3,97.503
2024Q4,98.036
2025Q1,98.856
2025Q2,99.914
2025Q3,100.236
2025Q4,100.993
