periodo,ipri_consumo,ipri_energia,ipri_intermedios
2011Q1,89.155,78.186,87.097
2011Q2,89.635,79.982,88.395
2011Q3,90.063,81.037,88.369
2011Q4,90.288,82.404,87.461
2012Q1,90.766,88.806,88.316
2012Q2,91.401,86.425,89.225
2012Q3,92.578,89.063,89.153
2012Q4,93.279,87.399,89.163
2013Q1,93.727,88.47,89.37
2013Q2,93.712,84.0,88.553
2013Q3,93.818,88.86,87.694
2013Q4,93.232,87.896,87.14
2014Q1,92.724,82.826,86.874
2014Q2,92.895,85.221,86.851
2014Q3,93.228,86.789,87.05
2014Q4,93.135,80.987,86.835
2015Q1,93.851,76.379,86.421
2015Q2,94.207,79.327,87.412
2015Q3,94.656,77.221,86.875
2015Q4,94.207,72.173,85.41
2016Q1,94.042,62.62,84.364
2016Q2,94.106,65.001,84.835
2016Q3,94.541,68.601,85.405
2016Q4,94.889,75.062,85.85
2017Q1,95.659,77.635,87.876
2017Q2,96.269,73.308,88.336
2017Q3,96.263,73.291,88.24
2017Q4,95.986,78.034,89.058
2018Q1,96.068,77.248,89.843
2018Q2,95.922,79.796,90.627
2018Q3,95.748,85.446,90.929
2018Q4,95.516,84.506,90.921
2019Q1,95.51,81.554,90.731
2019Q2,96.05,81.37,91.04
2019Q3,96.362,78.766,90.329
2019Q4,96.816,77.863,89.534
2020Q1,97.613,73.247,89.376
2020Q2,96.978,61.63,88.083
2020Q3,96.704,68.993,88.316
2020Q4,97.173,69.675,89.188
2021Q1,98.239,75.96,93.158
2021Q2,100.024,85.972,98.186
2021Q3,100.23,102.755,102.025
2021Q4,101.507,135.314,106.631
2022Q1,105.181,166.517,113.356
2022Q2,110.142,186.697,122.25
2022Q3,112.554,205.031,121.781
2022Q4,115.428,181.548,120.434
2023Q1,119.254,157.323,120.211
2023Q2,120.698,140.542,117.896
2023Q3,122.144,148.476,115.288
2023Q4,123.058,141.133,114.21
2024Q1,124.507,124.686,114.06
2024Q2,124.835,118.265,114.892
2024Q3,124.791,133.892,114.285
2024Q4,123.968,140.392,113.812
2025Q1,123.263,145.267,114.989
2025Q2,123.231,121.834,114.37
2025Q3,123.427,132.264,113.373
2025Q4,123.673,130.886,113.41
