periodo,sector,tasa_morosidad
2011Q1,Actividades inmobiliarias,15.26
2011Q2,Actividades inmobiliarias,17.7966
2011Q3,Actividades inmobiliarias,18.9707
2011Q4,Actividades inmobiliarias,21.418
2012Q1,Actividades inmobiliarias,22.8007
2012Q2,Actividades inmobiliarias,27.3893
2012Q3,Actividades inmobiliarias,30.3265
2012Q4,Actividades inmobiliarias,29.0525
2013Q1,Actividades inmobiliarias,29.5633
2013Q2,Actividades inmobiliarias,30.9318
2013Q3,Actividades inmobiliarias,33.6628
2013Q4,Actividades inmobiliarias,37.9987
2014Q1,Actividades inmobiliarias,37.9358
2014Q2,Actividades inmobiliarias,38.0419
2014Q3,Actividades inmobiliarias,37.4495
2014Q4,Actividades inmobiliarias,36.2102
2015Q1,Actividades inmobiliarias,34.7499
2015Q2,Actividades inmobiliarias,32.1241
2015Q3,Actividades inmobiliarias,30.6369
2015Q4,Actividades inmobiliarias,27.543
2016Q1,Actividades inmobiliarias,27.638
2016Q2,Actividades inmobiliarias,26.8875
2016Q3,Actividades inmobiliarias,25.6275
2016Q4,Actividades inmobiliarias,25.5006
2017Q1,Actividades inmobiliarias,24.1177
2017Q2,Actividades inmobiliarias,21.4705
2017Q3,Actividades inmobiliarias,20.2668
2017Q4,Actividades inmobiliarias,18.087
2018Q1,Actividades inmobiliarias,11.6707
2018Q2,Actividades inmobiliarias,10.5813
2018Q3,Actividades inmobiliarias,9.3987
2018Q4,Actividades inmobiliarias,8.9702
2019Q1,Actividades inmobiliarias,8.3206
2019Q2,Actividades inmobiliarias,7.2148
2019Q3,Actividades inmobiliarias,6.383
2019Q4,Actividades inmobiliarias,5.2372
2020Q1,Actividades inmobiliarias,5.1839
2020Q2,Actividades inmobiliarias,5.0944
2020Q3,Actividades inmobiliarias,5.1077
2020Q4,Actividades inmobiliarias,4.978
2021Q1,Actividades inmobiliarias,4.8331
2021Q2,Actividades inmobiliarias,4.5504
2021Q3,Actividades inmobiliarias,4.4159
2021Q4,Actividades inmobiliarias,4.1285
2022Q1,Actividades inmobiliarias,4.3479
2022Q2,Actividades inmobiliarias,4.0633
2022Q3,Actividades inmobiliarias,3.9114
2022Q4,Actividades inmobiliarias,3.7714
2023Q1,Actividades inmobiliarias,3.4405
2023Q2,Actividades inmobiliarias,3.4598
2023Q3,Actividades inmobiliarias,3.1546
2023Q4,Actividades inmobiliarias,2.9942
2024Q1,Actividades inmobiliarias,2.7993
2024Q2,Actividades inmobiliarias,2.7706
2024Q3,Actividades inmobiliarias,2.5302
2024Q4,Actividades inmobiliarias,2.4216
2025Q1,Actividades inmobiliarias,2.2594
2025Q2,Actividades inmobiliarias,1.9497
2011Q1,Agricultura y pesca,4.3689
2011Q2,Agricultura y pesca,5.3294
2011Q3,Agricultura y pesca,5.8019
2011Q4,Agricultura y pesca,6.517
2012Q1,Agricultura y pesca,7.0142
2012Q2,Agricultura y pesca,7.7434
2012Q3,Agricultura y pesca,8.5517
2012Q4,Agricultura y pesca,9.1676
2013Q1,Agricultura y pesca,11.2034
2013Q2,Agricultura y pesca,11.759
2013Q3,Agricultura y pesca,12.8193
2013Q4,Agricultura y pesca,13.6129
2014Q1,Agricultura y pesca,13.091
2014Q2,Agricultura y pesca,12.3845
2014Q3,Agricultura y pesca,12.1298
2014Q4,Agricultura y pesca,12.2713
2015Q1,Agricultura y pesca,11.8247
2015Q2,Agricultura y pesca,10.9766
2015Q3,Agricultura y pesca,11.0408
2015Q4,Agricultura y pesca,10.1469
2016Q1,Agricultura y pesca,9.5906
2016Q2,Agricultura y pesca,9.1232
2016Q3,Agricultura y pesca,9.196
2016Q4,Agricultura y pesca,9.0639
2017Q1,Agricultura y pesca,8.8725
2017Q2,Agricultura y pesca,8.2463
2017Q3,Agricultura y pesca,7.968
2017Q4,Agricultura y pesca,7.4504
2018Q1,Agricultura y pesca,6.838
2018Q2,Agricultura y pesca,6.4061
2018Q3,Agricultura y pesca,6.374
2018Q4,Agricultura y pesca,6.2204
2019Q1,Agricultura y pesca,6.195
2019Q2,Agricultura y pesca,5.8816
2019Q3,Agricultura y pesca,5.9572
2019Q4,Agricultura y pesca,6.0238
2020Q1,Agricultura y pesca,6.1181
2020Q2,Agricultura y pesca,5.8922
2020Q3,Agricultura y pesca,5.7436
2020Q4,Agricultura y pesca,5.5339
2021Q1,Agricultura y pesca,5.3138
2021Q2,Agricultura y pesca,5.2088
2021Q3,Agricultura y pesca,5.2507
2021Q4,Agricultura y pesca,5.1831
2022Q1,Agricultura y pesca,5.165
2022Q2,Agricultura y pesca,4.9861
2022Q3,Agricultura y pesca,5.0271
2022Q4,Agricultura y pesca,4.9233
2023Q1,Agricultura y pesca,5.057
2023Q2,Agricultura y pesca,5.2965
2023Q3,Agricultura y pesca,5.2731
2023Q4,Agricultura y pesca,5.4175
2024Q1,Agricultura y pesca,5.7742
2024Q2,Agricultura y pesca,5.5277
2024Q3,Agricultura y pesca,5.4257
2024Q4,Agricultura y pesca,5.5201
2025Q1,Agricultura y pesca,5.4969
2025Q2,Agricultura y pesca,5.0978
2011Q1,Comercio y reparaciones,5.8027
2011Q2,Comercio y reparaciones,6.2116
2011Q3,Comercio y reparaciones,6.8362
2011Q4,Comercio y reparaciones,7.2444
2012Q1,Comercio y reparaciones,7.7505
2012Q2,Comercio y reparaciones,8.6706
2012Q3,Comercio y reparaciones,9.6747
2012Q4,Comercio y reparaciones,10.8229
2013Q1,Comercio y reparaciones,11.5141
2013Q2,Comercio y reparaciones,13.1708
2013Q3,Comercio y reparaciones,14.2215
2013Q4,Comercio y reparaciones,15.1114
2014Q1,Comercio y reparaciones,15.2113
2014Q2,Comercio y reparaciones,14.8508
2014Q3,Comercio y reparaciones,15.8572
2014Q4,Comercio y reparaciones,15.3302
2015Q1,Comercio y reparaciones,15.5744
2015Q2,Comercio y reparaciones,14.2308
2015Q3,Comercio y reparaciones,13.6586
2015Q4,Comercio y reparaciones,12.6213
2016Q1,Comercio y reparaciones,12.1472
2016Q2,Comercio y reparaciones,11.5311
2016Q3,Comercio y reparaciones,11.5634
2016Q4,Comercio y reparaciones,11.2241
2017Q1,Comercio y reparaciones,10.9884
2017Q2,Comercio y reparaciones,10.241
2017Q3,Comercio y reparaciones,10.894
2017Q4,Comercio y reparaciones,10.1976
2018Q1,Comercio y reparaciones,9.294
2018Q2,Comercio y reparaciones,8.9121
2018Q3,Comercio y reparaciones,8.65
2018Q4,Comercio y reparaciones,8.9271
2019Q1,Comercio y reparaciones,8.9321
2019Q2,Comercio y reparaciones,8.6148
2019Q3,Comercio y reparaciones,8.4473
2019Q4,Comercio y reparaciones,8.2049
2020Q1,Comercio y reparaciones,7.8022
2020Q2,Comercio y reparaciones,7.0095
2020Q3,Comercio y reparaciones,6.9502
2020Q4,Comercio y reparaciones,6.8736
2021Q1,Comercio y reparaciones,6.5861
2021Q2,Comercio y reparaciones,6.6377
2021Q3,Comercio y reparaciones,6.4471
2021Q4,Comercio y reparaciones,6.2874
2022Q1,Comercio y reparaciones,6.1757
2022Q2,Comercio y reparaciones,5.5758
2022Q3,Comercio y reparaciones,5.7888
2022Q4,Comercio y reparaciones,5.5092
2023Q1,Comercio y reparaciones,5.4535
2023Q2,Comercio y reparaciones,5.4623
2023Q3,Comercio y reparaciones,5.5765
2023Q4,Comercio y reparaciones,5.6506
2024Q1,Comercio y reparaciones,6.0572
2024Q2,Comercio y reparaciones,5.8214
2024Q3,Comercio y reparaciones,6.1067
2024Q4,Comercio y reparaciones,5.7223
2025Q1,Comercio y reparaciones,5.7493
2025Q2,Comercio y reparaciones,5.649
2011Q1,Construccion,13.3324
2011Q2,Construccion,14.7309
2011Q3,Construccion,16.0919
2011Q4,Construccion,18.2462
2012Q1,Construccion,20.0919
2012Q2,Construccion,23.9008
2012Q3,Construccion,26.3604
2012Q4,Construccion,25.8383
2013Q1,Construccion,25.2888
2013Q2,Construccion,29.1461
2013Q3,Construccion,31.1001
2013Q4,Construccion,34.2731
2014Q1,Construccion,33.0103
2014Q2,Construccion,32.5537
2014Q3,Construccion,32.9095
2014Q4,Construccion,32.6205
2015Q1,Construccion,32.1447
2015Q2,Construccion,29.7566
2015Q3,Construccion,29.2425
2015Q4,Construccion,30.0341
2016Q1,Construccion,29.0622
2016Q2,Construccion,29.5982
2016Q3,Construccion,29.0578
2016Q4,Construccion,29.0949
2017Q1,Construccion,27.2342
2017Q2,Construccion,27.6142
2017Q3,Construccion,24.0011
2017Q4,Construccion,24.1144
2018Q1,Construccion,18.7119
2018Q2,Construccion,17.5717
2018Q3,Construccion,16.6756
2018Q4,Construccion,13.9677
2019Q1,Construccion,13.2889
2019Q2,Construccion,12.6664
2019Q3,Construccion,12.556
2019Q4,Construccion,11.7149
2020Q1,Construccion,11.4485
2020Q2,Construccion,9.8283
2020Q3,Construccion,9.4854
2020Q4,Construccion,9.1534
2021Q1,Construccion,9.0982
2021Q2,Construccion,9.1179
2021Q3,Construccion,8.6835
2021Q4,Construccion,8.4624
2022Q1,Construccion,8.3975
2022Q2,Construccion,8.3874
2022Q3,Construccion,8.0351
2022Q4,Construccion,8.0698
2023Q1,Construccion,7.7846
2023Q2,Construccion,7.9237
2023Q3,Construccion,7.7902
2023Q4,Construccion,8.1631
2024Q1,Construccion,8.5661
2024Q2,Construccion,8.3814
2024Q3,Construccion,8.0938
2024Q4,Construccion,8.0543
2025Q1,Construccion,7.6163
2025Q2,Construccion,7.198
2011Q1,Hosteleria,5.7803
2011Q2,Hosteleria,6.4218
2011Q3,Hosteleria,6.9182
2011Q4,Hosteleria,8.2078
2012Q1,Hosteleria,9.1362
2012Q2,Hosteleria,11.8326
2012Q3,Hosteleria,13.6037
2012Q4,Hosteleria,16.7799
2013Q1,Hosteleria,18.4164
2013Q2,Hosteleria,19.9403
2013Q3,Hosteleria,21.6931
2013Q4,Hosteleria,23.2222
2014Q1,Hosteleria,21.2486
2014Q2,Hosteleria,21.1803
2014Q3,Hosteleria,21.679
2014Q4,Hosteleria,20.3181
2015Q1,Hosteleria,19.4828
2015Q2,Hosteleria,18.1608
2015Q3,Hosteleria,18.4076
2015Q4,Hosteleria,17.0912
2016Q1,Hosteleria,16.2716
2016Q2,Hosteleria,15.6353
2016Q3,Hosteleria,15.2445
2016Q4,Hosteleria,14.509
2017Q1,Hosteleria,13.171
2017Q2,Hosteleria,12.0688
2017Q3,Hosteleria,12.5494
2017Q4,Hosteleria,10.6986
2018Q1,Hosteleria,9.748
2018Q2,Hosteleria,9.1921
2018Q3,Hosteleria,8.9786
2018Q4,Hosteleria,7.8804
2019Q1,Hosteleria,7.5478
2019Q2,Hosteleria,6.5628
2019Q3,Hosteleria,6.4204
2019Q4,Hosteleria,5.7559
2020Q1,Hosteleria,5.4413
2020Q2,Hosteleria,5.3001
2020Q3,Hosteleria,5.1038
2020Q4,Hosteleria,5.3533
2021Q1,Hosteleria,6.1901
2021Q2,Hosteleria,7.8067
2021Q3,Hosteleria,7.3047
2021Q4,Hosteleria,7.6626
2022Q1,Hosteleria,8.7356
2022Q2,Hosteleria,8.4051
2022Q3,Hosteleria,8.7817
2022Q4,Hosteleria,7.9833
2023Q1,Hosteleria,7.7851
2023Q2,Hosteleria,7.1547
2023Q3,Hosteleria,7.0079
2023Q4,Hosteleria,6.4773
2024Q1,Hosteleria,6.1442
2024Q2,Hosteleria,6.2933
2024Q3,Hosteleria,6.1971
2024Q4,Hosteleria,5.8551
2025Q1,Hosteleria,5.3398
2025Q2,Hosteleria,4.575
2011Q1,Industria (exc. construccion),4.6986
2011Q2,Industria (exc. construccion),4.8649
2011Q3,Industria (exc. construccion),5.1915
2011Q4,Industria (exc. construccion),5.5361
2012Q1,Industria (exc. construccion),6.1
