periodo,tasa_paro
2025Q4,9.93
2025Q3,10.45
2025Q2,10.29
2025Q1,11.36
2024Q4,10.61
2024Q3,11.21
2024Q2,11.27
2024Q1,12.29
2023Q4,11.8
2023Q3,11.89
2023Q2,11.67
2023Q1,13.38
2022Q4,12.99
2022Q3,12.73
2022Q2,12.69
2022Q1,13.73
2021Q4,13.44
2021Q3,14.71
2021Q2,15.39
2021Q1,16.14
2020Q4,16.13
2020Q3,16.26
2020Q2,15.33
2020Q1,14.41
2019Q4,13.78
2019Q3,13.92
2019Q2,14.02
2019Q1,14.7
2018Q4,14.45
2018Q3,14.55
2018Q2,15.28
2018Q1,16.74
2017Q4,16.55
2017Q3,16.38
2017Q2,17.22
2017Q1,18.75
2016Q4,18.63
2016Q3,18.91
2016Q2,20.0
2016Q1,21.0
2015Q4,20.9
2015Q3,21.18
2015Q2,22.37
2015Q1,23.78
2014Q4,23.7
2014Q3,23.67
2014Q2,24.47
2014Q1,25.93
2013Q4,25.73
2013Q3,25.65
2013Q2,26.06
2013Q1,26.94
2012Q4,25.77
2012Q3,24.79
2012Q2,24.4
2012Q1,24.19
2011Q4,22.56
2011Q3,21.28
2011Q2,20.64
2011Q1,21.08
