periodo,precio_petroleo_usd
2011Q1,110.06
2011Q2,118.37
2011Q3,111.45
2011Q4,109.15
2012Q1,118.84
2012Q2,106.26
2012Q3,109.82
2012Q4,109.23
2013Q1,111.66
2013Q2,101.64
2013Q3,110.03
2013Q4,109.78
2014Q1,107.74
2014Q2,109.61
2014Q3,101.87
2014Q4,71.71
2015Q1,57.77
2015Q2,65.91
2015Q3,52.3
2015Q4,44.41
2016Q1,37.63
2016Q2,48.99
2016Q3,46.87
2016Q4,52.65
2017Q1,55.21
2017Q2,50.53
2017Q3,54.12
2017Q4,63.34
2018Q1,67.65
2018Q2,77.16
2018Q3,78.19
2018Q4,62.84
2019Q1,64.91
2019Q2,66.26
2019Q3,61.18
2019Q4,61.8
2020Q1,44.21
2020Q2,35.2
2020Q3,43.83
2020Q4,45.88
2021Q1,60.73
2021Q2,70.11
2021Q3,75.12
2021Q4,76.77
2022Q1,97.31
2022Q2,110.59
2022Q3,94.92
2022Q4,88.48
2023Q1,82.93
2023Q2,76.11
2023Q3,88.15
2023Q4,80.97
2024Q1,83.54
2024Q2,84.15
2024Q3,76.51
2024Q4,73.1
2025Q1,74.77
2025Q2,64.88
2025Q3,68.95
2025Q4,62.55
