Grupos especiales;Tipo de dato;Periodo;Total
Alimentos con elaboración, bebidas y tabaco;Variación anual;2026M01;2,1
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M12;2,0
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M11;1,7
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M10;1,4
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M09;1,4
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M08;1,3
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M07;1,2
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M06;1,1
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M05;0,9
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M04;0,6
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M03;1,0
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M02;1,2
Alimentos con elaboración, bebidas y tabaco;Variación anual;2025M01;2,0
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M12;2,3
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M11;2,4
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M10;2,5
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M09;2,5
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M08;3,1
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M07;3,4
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M06;3,9
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M05;4,2
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M04;4,5
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M03;4,7
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M02;5,3
Alimentos con elaboración, bebidas y tabaco;Variación anual;2024M01;6,2
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M12;6,1
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M11;8,7
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M10;10,2
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M09;10,9
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M08;10,9
Alimentos con elaboración, bebidas y tabaco;Variación anual;2023M07;11,3
