Destino económico de los bienes;Índice y tasas;Periodo;Total
Bienes de consumo;Índice;2026M02;123,584
Bienes de consumo;Índice;2025M12;123,511
Bienes de consumo;Índice;2025M11;123,732
Bienes de consumo;Índice;2025M10;123,775
Bienes de consumo;Índice;2025M09;123,696
Bienes de consumo;Índice;2025M08;123,420
Bienes de consumo;Índice;2025M07;123,166
Bienes de consumo;Índice;2025M06;123,174
Bienes de consumo;Índice;2025M05;123,209
Bienes de consumo;Índice;2025M04;123,310
Bienes de consumo;Índice;2025M03;123,168
Bienes de consumo;Índice;2025M02;123,284
Bienes de consumo;Índice;2025M01;123,337
Bienes de consumo;Índice;2024M12;123,025
Bienes de consumo;Índice;2024M11;123,998
Bienes de consumo;Índice;2024M10;124,881
Bienes de consumo;Índice;2024M09;124,784
Bienes de consumo;Índice;2024M08;124,663
Bienes de consumo;Índice;2024M07;124,926
Bienes de consumo;Índice;2024M06;125,120
Bienes de consumo;Índice;2024M05;124,940
Bienes de consumo;Índice;2024M04;124,446
Bienes de consumo;Índice;2024M03;124,757
Bienes de consumo;Índice;2024M02;124,418
Bienes de consumo;Índice;2024M01;124,345
Bienes de consumo;Índice;2023M12;123,354
Bienes de consumo;Índice;2023M11;122,935
Bienes de consumo;Índice;2023M10;122,886
Bienes de consumo;Índice;2023M09;122,696
Bienes de consumo;Índice;2023M08;122,265
Bienes de consumo;Índice;2023M07;121,470
Bienes de consumo;Índice;2023M06;120,988
Bienes de consumo;Índice;2023M05;120,720
Bienes de consumo;Índice;2023M04;120,386
Bienes de consumo;Índice;2023M03;120,202
Bienes de consumo;Índice;2023M02;119,222
Bienes de consumo;Índice;2023M01;118,338
Bienes de consumo;Índice;2022M12;116,180
Bienes de consumo;Índice;2022M11;115,456
Bienes de consumo;Índice;2022M10;114,647
Bienes de consumo;Índice;2022M09;113,389
Bienes de consumo;Índice;2022M08;112,519
Bienes de consumo;Índice;2022M07;111,753
Bienes de consumo;Índice;2022M06;110,703
Bienes de consumo;Índice;2022M05;110,240
Bienes de consumo;Índice;2022M04;109,482
Bienes de consumo;Índice;2022M03;107,320
Bienes de consumo;Índice;2022M02;104,556
Bienes de consumo;Índice;2022M01;103,667
Bienes de consumo;Índice;2021M12;102,112
Bienes de consumo;Índice;2021M11;101,493
Bienes de consumo;Índice;2021M10;100,917
Bienes de consumo;Índice;2021M09;100,449
Bienes de consumo;Índice;2021M08;100,110
Bienes de consumo;Índice;2021M07;100,132
Bienes de consumo;Índice;2021M06;100,159
Bienes de consumo;Índice;2021M05;100,226
Bienes de consumo;Índice;2021M04;99,686
Bienes de consumo;Índice;2021M03;98,941
Bienes de consumo;Índice;2021M02;98,131
Bienes de consumo;Índice;2021M01;97,645
Bienes de consumo;Índice;2020M12;97,124
Bienes de consumo;Índice;2020M11;97,216
Bienes de consumo;Índice;2020M10;97,180
