Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Actividad económica;Periodo;Total
Nacional;;;Total;2020T4;1.499
Nacional;;;Total;2020T3;1.137
Nacional;;;Total;2020T2;802
Nacional;;;Total;2020T1;1.192
Nacional;;;Total;2019T4;1.379
Nacional;;;Total;2019T3;1.041
Nacional;;;Total;2019T2;1.155
Nacional;;;Total;2019T1;1.214
Nacional;;;Total;2018T4;1.141
Nacional;;;Total;2018T3;845
Nacional;;;Total;2018T2;1.243
Nacional;;;Total;2018T1;1.103
Nacional;;;Total;2017T4;1.136
Nacional;;;Total;2017T3;807
Nacional;;;Total;2017T2;1.214
Nacional;;;Total;2017T1;1.104
Nacional;;;Total;2016T4;1.172
Nacional;;;Total;2016T3;913
Nacional;;;Total;2016T2;1.127
Nacional;;;Total;2016T1;1.085
Nacional;;;Total;2015T4;1.260
Nacional;;;Total;2015T3;1.070
Nacional;;;Total;2015T2;1.307
Nacional;;;Total;2015T1;1.460
Nacional;;;Total;2014T4;1.573
Nacional;;;Total;2014T3;1.325
Nacional;;;Total;2014T2;1.739
Nacional;;;Total;2014T1;1.927
Nacional;;;Total;2013T4;2.178
Nacional;;;Total;2013T3;1.801
Nacional;;;Total;2013T2;2.455
Nacional;;;Total;2013T1;2.709
Nacional;;;Total;2012T4;2.434
Nacional;;;Total;2012T3;1.523
Nacional;;;Total;2012T2;2.092
Nacional;;;Total;2012T1;2.046
Nacional;;;Total;2011T4;1.649
Nacional;;;Total;2011T3;1.206
Nacional;;;Total;2011T2;1.487
Nacional;;;Total;2011T1;1.568
Nacional;;;A Agricultura y pesca;2020T4;16
Nacional;;;A Agricultura y pesca;2020T3;10
Nacional;;;A Agricultura y pesca;2020T2;8
Nacional;;;A Agricultura y pesca;2020T1;16
Nacional;;;A Agricultura y pesca;2019T4;30
Nacional;;;A Agricultura y pesca;2019T3;10
Nacional;;;A Agricultura y pesca;2019T2;13
Nacional;;;A Agricultura y pesca;2019T1;12
Nacional;;;A Agricultura y pesca;2018T4;9
Nacional;;;A Agricultura y pesca;2018T3;21
Nacional;;;A Agricultura y pesca;2018T2;15
Nacional;;;A Agricultura y pesca;2018T1;20
Nacional;;;A Agricultura y pesca;2017T4;13
Nacional;;;A Agricultura y pesca;2017T3;11
Nacional;;;A Agricultura y pesca;2017T2;19
Nacional;;;A Agricultura y pesca;2017T1;11
Nacional;;;A Agricultura y pesca;2016T4;18
Nacional;;;A Agricultura y pesca;2016T3;5
Nacional;;;A Agricultura y pesca;2016T2;15
Nacional;;;A Agricultura y pesca;2016T1;6
Nacional;;;A Agricultura y pesca;2015T4;12
Nacional;;;A Agricultura y pesca;2015T3;23
Nacional;;;A Agricultura y pesca;2015T2;15
Nacional;;;A Agricultura y pesca;2015T1;20
Nacional;;;A Agricultura y pesca;2014T4;13
Nacional;;;A Agricultura y pesca;2014T3;9
Nacional;;;A Agricultura y pesca;2014T2;17
Nacional;;;A Agricultura y pesca;2014T1;18
Nacional;;;A Agricultura y pesca;2013T4;21
Nacional;;;A Agricultura y pesca;2013T3;14
Nacional;;;A Agricultura y pesca;2013T2;32
Nacional;;;A Agricultura y pesca;2013T1;16
Nacional;;;A Agricultura y pesca;2012T4;21
Nacional;;;A Agricultura y pesca;2012T3;16
Nacional;;;A Agricultura y pesca;2012T2;23
Nacional;;;A Agricultura y pesca;2012T1;11
Nacional;;;A Agricultura y pesca;2011T4;20
Nacional;;;A Agricultura y pesca;2011T3;13
Nacional;;;A Agricultura y pesca;2011T2;15
Nacional;;;A Agricultura y pesca;2011T1;16
Nacional;;;Industria y energía;2020T4;162
Nacional;;;Industria y energía;2020T3;109
Nacional;;;Industria y energía;2020T2;119
Nacional;;;Industria y energía;2020T1;158
Nacional;;;Industria y energía;2019T4;184
Nacional;;;Industria y energía;2019T3;144
Nacional;;;Industria y energía;2019T2;178
Nacional;;;Industria y energía;2019T1;139
